time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
1.732,8192,8192,4729.858,4729.858,8192
1.995,248265,240073,913864.399,186556.766,8192
2.299,517593,269328,885238.886,326293.190,8192
2.572,849185,331592,1216078.441,504250.240,8192
2.841,1186569,337384,1252126.099,653825.412,8192
3.128,1619521,432952,1507161.901,824492.710,8192
3.388,1901841,282320,1087657.522,877125.672,8192
3.645,2143905,242064,941033.043,889907.146,8192
3.939,2329041,185136,630884.211,838102.559,8192
4.196,2484889,155848,604325.530,791347.153,8192
4.474,2671969,187080,673837.506,767845.224,8192
4.815,2831497,159528,467381.474,707752.474,8192
5.079,2982089,150592,570761.078,680354.195,8192
5.354,3127265,145176,527807.933,649844.942,8192
5.617,3318649,191384,728684.390,665612.832,8192
5.896,3515257,196608,703486.949,673187.655,8192
6.166,3724153,208896,773777.157,693305.556,8192
6.447,3945337,221184,788209.640,712286.373,8192
6.723,4154233,208896,755949.006,721018.899,8192
6.988,4371321,217088,818787.516,740572.623,8192
7.256,4580217,208896,779625.011,748383.100,8192
7.533,4772729,192512,696762.771,738059.034,8192
7.807,5034873,262144,955292.108,781505.649,8192
8.084,5268345,233472,842013.241,793607.167,8192
8.361,5546873,278528,1006648.271,836215.388,8192
8.623,5829497,282624,1079407.637,884853.838,8192
8.873,6030201,200704,801891.579,868261.386,8192
9.143,6243193,212992,789587.727,852526.654,8192
9.403,6501241,258048,992003.174,880421.958,8192
9.656,6701945,200704,793554.897,863048.546,8192
9.924,6914937,212992,795038.178,849446.472,8192
10.200,7144313,229376,831292.636,845815.705,8192
10.478,7381881,237568,855074.503,847667.465,8192
10.755,7619449,237568,856369.384,849407.849,8192
11.022,7869305,249856,937131.026,866952.484,8192
11.293,8082297,212992,784685.893,850499.166,8192
11.560,8319865,237568,888582.348,858115.802,8192
11.814,8532857,212992,839428.285,854378.299,8192
12.069,8770425,237568,932215.727,869945.784,8192
12.330,9003897,233472,894567.466,874870.121,8192
12.607,9290617,286720,1033674.827,906631.062,8192
12.882,9565049,274432,999814.925,925267.835,8192
13.159,9913209,348160,1256571.864,991528.641,8192
13.432,10220409,307200,1127083.426,1018639.598,8192
13.700,10482553,262144,977533.189,1010418.316,8192
13.971,10707833,225280,830306.787,974396.010,8192
14.263,10856441,148608,508205.573,881157.923,8192
14.524,10963465,107024,410233.923,786973.123,8192
14.917,11061889,98424,250430.258,679664.550,8192
15.230,11152001,90112,288510.826,601433.805,8192
15.700,11253273,101272,215351.927,524217.429,8192
16.048,11363865,110592,317948.972,482963.738,8192
16.365,11470361,106496,335604.711,453491.933,8192
16.714,11597337,126976,364195.511,435632.648,8192
16.978,11752985,155648,588814.091,466268.937,8192
17.297,11896345,143360,449671.090,462949.367,8192
17.571,12019225,122880,448621.879,460083.870,8192
17.948,12092953,73728,195672.529,407201.602,8192
18.286,12207641,114688,339365.117,393634.305,8192
18.601,12326425,118784,376054.154,390118.274,8192
18.893,12400153,73728,253198.551,362734.330,8192
19.164,12502553,102400,377831.337,365753.731,8192
19.428,12613145,110592,418566.944,376316.374,8192
19.779,12752409,139264,396090.179,380271.135,8192
20.104,12940825,188416,580002.629,420217.434,8192
20.387,13116953,176128,622182.344,460610.416,8192
20.692,13239833,122880,403334.468,449155.226,8192
21.029,13379097,139264,412732.151,441870.611,8192
21.301,13538841,159744,587801.961,471056.881,8192
21.600,13710873,172032,575902.559,492026.017,8192
21.893,13895193,184320,628320.439,519284.901,8192
22.161,14120473,225280,843083.798,584044.681,8192
22.422,14345753,225280,862112.183,639658.181,8192
22.701,14575129,229376,822830.150,676292.575,8192
22.975,14841369,266240,968567.398,734747.539,8192
23.258,15115801,274432,970095.623,781817.156,8192
23.515,15398425,282624,1103124.395,846078.604,8192
23.773,15689241,290816,1123647.775,901592.438,8192
24.091,16049689,360448,1135622.676,948398.486,8192
24.357,16328217,278528,1046424.256,968003.640,8192
24.608,16614937,286720,1143154.232,1003033.758,8192
24.957,16913945,299008,855828.523,973592.711,8192
25.233,17200665,286720,1039867.637,986847.696,8192
25.486,17405465,204800,808609.161,951199.989,8192
25.765,17634841,229376,822048.987,925369.789,8192
26.051,17901081,266240,932302.002,926756.231,8192
26.310,18187801,286720,1104069.910,962218.967,8192
26.579,18466329,278528,1037290.282,977233.230,8192
26.860,18810393,344064,1224231.431,1026632.870,8192
27.115,19121689,311296,1219018.022,1065109.901,8192
27.393,19506713,385024,1387934.518,1129674.824,8192
27.669,19875353,368640,1336229.754,1170985.810,8192
27.941,20284953,409600,1503683.216,1237525.291,8192
28.214,20698649,413696,1517559.028,1293532.039,8192
28.483,21128729,430080,1594513.521,1353728.335,8192
